fracture_id,true_length,gen_length,hausdorff,endpoint_error,frechet,path_similarity,length_error
771.0,7,7,7004.252922108696,7004.252922108696,7004.252922108696,0.9656129303158533,6.3115353451676794
772.0,3,3,9480.036288214726,9782.694937360564,9782.694937360564,0.6344919581312293,13.743277915879188
808.0,3,3,8211.190157943463,8668.72832075594,8668.72832075594,0.5130145938833363,16.83806136098138
810.0,3,3,6729.338623800313,7001.089861589174,7001.089861589174,0.5228938477202496,21.767600132455883
824.0,6,6,6631.477202953351,7938.992492483993,7938.992492483993,0.8009609040673048,5.209588283672579
825.0,6,6,6513.87459507948,6513.87459507948,6513.87459507948,0.9335767362870344,6.9695204515687434
826.0,4,4,6428.274611321033,6428.274611321033,6428.274611321033,0.9999659338403678,8.037594270722385
827.0,3,3,6117.95455493027,6117.95455493027,6117.95455493027,0.9989461793928394,13.304506746360087
828.0,4,4,8930.579547209252,9224.22084366499,9224.22084366499,0.6998659818885854,23.683127623853267
845.0,4,4,8120.405204520438,8120.405204520438,8120.405204520438,0.9917870535343475,43.621429079122095
846.0,5,5,6712.706623650447,6712.706623650447,6712.706623650447,0.9420103436555598,11.177265620006668
847.0,4,4,8053.0093305064465,8265.652693494188,8265.652693494188,0.697133846788827,30.05933682166304
850.0,4,4,5507.151456536441,5713.774058148452,5713.774058148452,0.6666886426138605,26.27681461336481
851.0,8,8,10181.749061263758,10181.749061263758,10181.749061263758,0.9946083444771371,11.847419435221706
852.0,4,4,10478.660905270654,10982.719576255844,10982.719576255844,0.666705386853593,21.31986179926594
855.0,9,9,8392.485015623983,9801.118432315354,9801.118432315354,0.893386364263751,3.7677223022029853
877.0,3,3,10585.83986165532,10585.83986165532,10585.83986165532,0.7619634546778533,23.51132222701956
879.0,4,4,9514.250864191852,10511.392543955317,10511.392543955317,0.6698569967637606,9.86931779091623
880.0,6,6,10225.741942404837,10808.482185822591,10808.482185822591,0.8149675165364553,13.471966879177115
881.0,4,4,10250.959506966998,10725.405471303939,10725.405471303939,0.7014632379659811,16.640752861613247
944.0,5,5,9180.56106398963,9180.56106398963,9180.56106398963,0.8974732771211266,21.294734060657504
947.0,4,4,9674.757087694352,10007.838759964161,10007.838759964161,0.7064741909160035,20.058905037209563
948.0,4,4,10846.099481215406,10973.74463806645,10973.74463806645,0.7716643514975629,24.539340839078275
949.0,2,2,10563.46837804124,10932.524581897696,10932.524581897696,9.484574632145915e-05,27.617679609589867
1086.0,9,9,13944.292868156896,14923.146588427324,14923.146588427324,0.899563317459996,8.579041766869912
1087.0,3,3,11019.45789798635,11114.736442622552,11114.736442622552,0.6831392212563207,28.587098439239107
1107.0,2,2,13098.506409812499,13098.506409812499,13098.506409812499,0.5430927334019024,120.33479597218565
1108.0,4,4,12991.236651140149,13011.37609033166,13011.37609033166,0.8026035382259722,43.35443957532418
1109.0,5,5,12107.828591005455,13129.321440401915,13129.321440401915,0.7532593521726031,12.036600217708116
1110.0,7,7,10340.202333049754,12558.609668592675,12558.609668592675,0.8350797726260178,4.720989218555032
1111.0,8,8,12367.623260740149,12367.623260740149,12367.623260740149,0.9934985405347054,5.497812685002603
1113.0,7,7,10674.065212610267,11544.393268253301,11544.393268253301,0.8405575238594015,10.701788381049688
1114.0,5,5,11940.099962928227,11940.099962928227,11940.099962928227,0.9833384695905045,20.32586635714659
1115.0,4,4,11236.773278310773,12114.02385464214,12114.02385464214,0.6842020750541726,12.58389104113127
1116.0,4,4,10760.024336669776,10760.024336669776,10760.024336669776,0.8846545807536019,17.834483268404774
1117.0,8,8,11282.014268890685,11282.014268890685,11282.014268890685,0.9912061311301091,11.60786522031042
1118.0,2,2,11282.320800698533,11635.985650089646,11635.985650089646,0.004957548317400251,30.594520985682
1119.0,6,6,11660.259645802103,11660.259645802103,11660.259645802103,0.9825705818606425,20.88734235214163
1126.0,6,6,14673.957519420219,14673.957519420219,14673.957519420219,0.9298272877928635,8.773412765581519
1127.0,4,4,12325.305503190646,14130.17807770259,14130.17807770259,0.6704231870519012,6.588463986287438
1129.0,5,5,10558.02538392952,11169.606268325178,11169.606268325178,0.7546034613149138,16.832772224397548
1130.0,2,2,11387.484038299552,11634.684029199268,11634.684029199268,0.007900179089281312,44.353601612018785
1131.0,2,2,11361.92875711296,11887.406109186502,11887.406109186502,0.00788615509581736,20.296263972926592
1132.0,4,4,12611.043833342865,12611.043833342865,12611.043833342865,0.8996515467790136,35.01316679533521
1133.0,2,2,13477.364816862635,13482.827815401666,13482.827815401666,0.47285216320637197,141.57186652669924
1134.0,3,3,13342.412422151667,13368.227022193294,13368.227022193294,0.7219553130175549,38.386791470418295
1135.0,3,3,12093.766945194413,12093.766945194413,12093.766945194413,0.9679358586183464,18.367711616370833
1136.0,2,2,12079.812547051331,12394.92129699647,12394.92129699647,0.08011743471930338,31.362884030597737
1137.0,2,2,11432.621015550314,11776.180121535546,11776.180121535546,0.12504660171693632,24.2348418766842
1138.0,2,2,10624.052494039259,10624.052494039259,10624.052494039259,0.9648246370827431,32.66170766786922
1139.0,4,4,10684.64457306072,11549.382504928484,11549.382504928484,0.6739878903668012,11.796941501397788
1140.0,3,3,10153.008197899926,10153.008197899926,10153.008197899926,0.9493603327547282,34.71207908839155
1141.0,6,6,9141.41965003062,11536.574932042786,11536.574932042786,0.8078649905368417,3.453295118803885
1142.0,2,2,11012.890147753664,11012.890147753664,11012.890147753664,0.6396107259857242,43.12679159453138
1143.0,2,2,10265.097936837565,10282.007152044558,10282.007152044558,0.4614625073452713,51.52556089493203
1144.0,3,3,10106.243687036207,10106.243687036207,10106.243687036207,0.7721949768791052,24.840889257231076
1151.0,4,4,12284.91850048465,12284.91850048465,12284.91850048465,0.9956530272402467,15.875918282193236
1180.0,2,2,15266.071238718185,15266.071238718185,15266.071238718185,0.874226123390826,306.39075278602024
1181.0,5,5,15325.655848481625,15325.655848481625,15325.655848481625,0.9700553337002208,103.56132296233939
1186.0,4,4,14521.74517029113,14564.819991698378,14564.819991698378,0.8158967553051669,27.837450086933487
1197.0,4,4,14920.046266795007,15566.090725061173,15566.090725061173,0.6976675550123691,19.58589652041068
1198.0,2,2,15010.704370432566,15010.704370432566,15010.704370432566,0.9420078442246678,21.867662678265862
1199.0,3,3,14350.940731650937,14350.940731650937,14350.940731650937,0.7782910544471676,53.49193427706801
1244.0,3,3,13590.713066776141,13590.713066776141,13590.713066776141,0.8458287090694752,37.87561620598766
1245.0,2,2,13494.75023265265,13494.75023265265,13494.75023265265,0.6497638186792607,123.43254774262087
1246.0,2,2,13138.192360346178,13272.397373919202,13272.397373919202,0.07676549046035291,82.03173134808829
1253.0,5,5,14854.414201100937,15244.800470575206,15244.800470575206,0.7686714150228037,34.33243870262893
1255.0,2,2,13230.818650482086,13413.969960408298,13413.969960408298,0.08427183187029719,59.24680113724397
1257.0,6,6,14589.547912089238,14589.547912089238,14589.547912089238,0.9992026377643025,10.937050268697682
