fracture_id,point_idx,coord_x,coord_y,prev_angle,next_angle,prev_length,next_length,curvature,closest_seg_0_p1_x,closest_seg_0_p1_y,closest_seg_0_p2_x,closest_seg_0_p2_y,closest_seg_1_p1_x,closest_seg_1_p1_y,closest_seg_1_p2_x,closest_seg_1_p2_y,closest_seg_2_p1_x,closest_seg_2_p1_y,closest_seg_2_p2_x,closest_seg_2_p2_y,closest_seg_3_p1_x,closest_seg_3_p1_y,closest_seg_3_p2_x,closest_seg_3_p2_y
8.0,1,792877.3748695031,979629.6874844284,-2.5313319578520983,0.6437729052494786,242.22118252151128,919.56269614825,0.0,792520.1875917539,979586.3749070092,792444.8124144189,979584.6249105112,792448.3124074191,979250.8125860096,792287.3124013357,979200.6250223444,791986.8123461716,979608.999861762,791877.1875654198,979489.6251005084,793368.8751988374,978773.3752206787,793380.6875111721,978750.3126027584
8.0,2,793612.8750389218,980181.6250288412,-2.4978197483403144,0.5634520757179808,919.56269614825,81.91213683700694,0.002675513515554774,794293.3749902546,980293.0001341776,794293.6249897555,980255.3752094284,794283.1250107549,980322.8750744238,794293.3749902546,980293.0001341776,794423.6250578389,980380.1249599232,794423.875057336,980340.1250399275,794413.1874146722,980430.1248599292,794423.6250578389,980380.1249599232
8.0,3,793682.1249004193,980225.3749413416,-2.5781405778718125,0.4582693374744741,81.91213683700694,265.033847019884,0.0030575040007727932,794283.1250107549,980322.8750744238,794293.3749902546,980293.0001341776,794293.3749902546,980293.0001341776,794293.6249897555,980255.3752094284,794462.312644504,980153.1250858456,794326.6249237545,980075.3125774264,794423.6250578389,980380.1249599232,794423.875057336,980340.1250399275
8.0,4,793919.8124171719,980342.6250349284,-2.683323316115319,0.3521341522718176,265.033847019884,573.1706902841157,0.008760559619997853,794283.1250107549,980322.8750744238,794293.3749902546,980293.0001341776,794293.3749902546,980293.0001341776,794293.6249897555,980255.3752094284,794326.6249237545,980075.3125774264,794262.8750512525,980031.62500076,794462.312644504,980153.1250858456,794326.6249237545,980075.3125774264
8.0,5,794457.8126535043,980540.312631674,-2.789458501317976,0.4553293220026244,573.1706902841157,94.08562704549755,0.003625794399597245,794413.1874146722,980430.1248599292,794423.6250578389,980380.1249599232,794423.6250578389,980380.1249599232,794423.875057336,980340.1250399275,794423.875057336,980340.1250399275,794439.3126905039,980286.87481834,794283.1250107549,980322.8750744238,794293.3749902546,980293.0001341776
8.0,6,794542.3124845028,980581.687548928,-2.6862633315871687,0.0,94.08562704549755,0.0,0.004556505657086736,794413.1874146722,980430.1248599292,794423.6250578389,980380.1249599232,794423.6250578389,980380.1249599232,794423.875057336,980340.1250399275,794423.875057336,980340.1250399275,794439.3126905039,980286.87481834,794671.499890171,980279.1874977574,794630.8123075031,980247.6248968468
9.0,0,794494.3749163374,967833.37511909,0.0,2.577315728264781,0.0,60.652523024918466,0.0,794699.6874978356,967877.3123671784,794699.6874978356,967877.3123671784,794553.6874617524,967542.5000446736,794553.6874617524,967542.5000446736,794772.1873528361,967615.6248984262,794772.1873528361,967615.6248984262,794835.3748905025,967630.6248684302,794835.3748905025,967630.6248684302
9.0,1,794443.1250188388,967865.8123901784,-0.5642769253250124,2.364717098118605,60.652523024918466,98.51231012094402,0.0,794699.6874978356,967877.3123671784,794494.3749163374,967833.37511909,794553.6874617524,967542.5000446736,794647.1876028366,967465.8748698458,794835.3748905025,967630.6248684302,794772.1873528361,967615.6248984262,794772.1873528361,967615.6248984262,794795.3749705032,967600.3749289288
9.0,2,794372.8751593381,967934.8749160916,-0.7768755554711881,0.0,98.51231012094402,0.0,0.018500771162331744,794494.3749163374,967833.37511909,794277.8750212528,967767.4999227598,794699.6874978356,967877.3123671784,794494.3749163374,967833.37511909,794036.9998468384,968006.5001009256,794106.6250356697,967925.6875985116,793937.8750450872,968153.8751342596,794036.9998468384,968006.5001009256
11.0,0,792889.3125096709,973793.3750100957,0.0,1.0321047412851467,0.0,1532.2456234321794,0.0,793534.4998675883,971772.3124511763,793534.4998675883,971772.3124511763,793423.875088837,971672.3749870136,793423.875088837,971672.3749870136,793189.6249011718,976271.8749743402,793189.6249011718,976271.8749743402,793693.6248774193,976321.499875091,793693.6248774193,976321.499875091
11.0,1,793675.3749139197,975108.6250042616,-2.1094879123046466,1.0130092178786205,1532.2456234321794,766.5643210922512,0.0,793693.6248774193,976321.499875091,793430.1250763386,976176.1251658424,793189.6249011718,976271.8749743402,793201.3748776689,976260.3126615136,793154.312635839,976622.8125926778,793254.6874350868,976578.8123525904,795386.625100337,974702.312496677,794995.8125617541,974038.3748481796
11.0,2,794081.1250866689,975759.00001584,-2.128583435711173,0.0,766.5643210922512,0.0,0.0013583653033690636,793693.6248774193,976321.499875091,793430.1250763386,976176.1251658424,793430.1250763386,976176.1251658424,793382.6875071712,976161.8125304282,793254.6874350868,976578.8123525904,793464.6876712553,976464.624916926,793201.3748776689,976260.3126615136,793226.124828171,976252.31267751
12.0,0,794510.9998830855,962615.3750564232,0.0,-2.321801841810557,0.0,79.68486509620902,0.0,794342.6248917542,962985.812635757,794342.6248917542,962985.812635757,794909.6874059215,963157.3749566748,794909.6874059215,963157.3749566748,793074.1251321696,962283.687399596,793074.1251321696,962283.687399596,792821.31264567,962065.8751711772,792821.31264567,962065.8751711772
12.0,1,794456.6249918379,962557.125172928,0.8197908117792362,-2.270213712286862,79.68486509620902,212.03168434087866,0.0,794342.6248917542,962985.812635757,794373.874829255,962891.8124956788,794909.6874059215,963157.3749566748,794931.8126897551,963497.3125970066,793074.1251321696,962283.687399596,793082.8751146719,962591.687439762,793948.687687505,964439.00001809,794060.500127919,964112.3750151768
12.0,2,794320.1249367557,962394.874841258,0.8713789413029311,-2.312259931919201,212.03168434087866,142.8847751148992,0.010595288595074767,794373.874829255,962891.8124956788,794425.8750533387,962753.1251090094,794342.6248917542,962985.812635757,794373.874829255,962891.8124956788,794909.6874059215,963157.3749566748,794931.8126897551,963497.3125970066,793074.1251321696,962283.687399596,793082.8751146719,962591.687439762
12.0,3,794223.6251297556,962289.5000520124,0.8293327216705924,0.0,142.8847751148992,0.0,0.008735028823155024,794425.8750533387,962753.1251090094,794510.9998830855,962615.3750564232,794373.874829255,962891.8124956788,794425.8750533387,962753.1251090094,794342.6248917542,962985.812635757,794373.874829255,962891.8124956788,794909.6874059215,963157.3749566748,794931.8126897551,963497.3125970066
13.0,0,793534.4998675883,971772.3124511763,0.0,0.9298093301284078,0.0,159.0756439047003,0.0,793423.875088837,971672.3749870136,793423.875088837,971672.3749870136,792950.1873879209,971098.812485844,792950.1873879209,971098.812485844,793186.4999074191,970421.499864094,793186.4999074191,970421.499864094,794636.1249609217,970895.1875650138,794636.1249609217,970895.1875650138
13.0,1,793629.6250054203,971899.8125242592,-2.2117833234613853,0.7992604580419502,159.0756439047003,95.64542249320044,0.0,793423.875088837,971672.3749870136,793151.3126418367,971351.31230893,792950.1873879209,971098.812485844,792990.624971088,971037.8749436736,794636.1249609217,970895.1875650138,794903.375082586,970618.6874618456,793186.4999074191,970421.499864094,793177.4999254197,970277.9998230116
13.0,2,793696.3125360869,971968.375051178,-2.342332195547843,0.8989846601231003,95.64542249320044,183.260799012428,0.011844604017853158,793423.875088837,971672.3749870136,793151.3126418367,971351.31230893,793151.3126418367,971351.31230893,792950.1873879209,971098.812485844,792950.1873879209,971098.812485844,792990.624971088,971037.8749436736,794636.1249609217,970895.1875650138,794903.375082586,970618.6874618456
13.0,3,793810.3749720044,972111.8124283404,-2.242607993466693,0.9295873940211128,183.260799012428,223.60073075968563,0.010918650616859853,793423.875088837,971672.3749870136,793151.3126418367,971351.31230893,793151.3126418367,971351.31230893,792950.1873879209,971098.812485844,792950.1873879209,971098.812485844,792990.624971088,971037.8749436736,792950.1873879209,971098.812485844,792524.812582504,970590.8125175908
13.0,4,793944.1250325888,972291.0000620933,-2.2120052595686803,0.9716436452872287,223.60073075968563,556.5723078258311,0.0076471977251974825,793423.875088837,971672.3749870136,793151.3126418367,971351.31230893,793151.3126418367,971351.31230893,792950.1873879209,971098.812485844,792950.1873879209,971098.812485844,792990.624971088,971037.8749436736,792950.1873879209,971098.812485844,792524.812582504,970590.8125175908
13.0,5,794258.0000610054,972750.625127092,-2.1699490083025648,0.0,556.5723078258311,0.0,0.003973601718435841,793423.875088837,971672.3749870136,793151.3126418367,971351.31230893,795386.625100337,974702.312496677,794995.8125617541,974038.3748481796,792889.3125096709,973793.3750100957,793675.3749139197,975108.6250042616,793151.3126418367,971351.31230893,792950.1873879209,971098.812485844
14.0,0,794835.3748905025,967630.6248684302,0.0,-2.9085187733706683,0.0,64.94354484060585,0.0,794772.1873528361,967615.6248984262,794772.1873528361,967615.6248984262,794699.6874978356,967877.3123671784,794699.6874978356,967877.3123671784,794553.6874617524,967542.5000446736,794553.6874617524,967542.5000446736,794494.3749163374,967833.37511909,794494.3749163374,967833.37511909
14.0,1,794772.1873528361,967615.6248984262,0.2330738802191249,-2.9975201129758635,64.94354484060585,73.13254563742032,0.0,794772.1873528361,967615.6248984262,794795.3749705032,967600.3749289288,794553.6874617524,967542.5000446736,794647.1876028366,967465.8748698458,794699.6874978356,967877.3123671784,794494.3749163374,967833.37511909,794494.3749163374,967833.37511909,794443.1250188388,967865.8123901784
14.0,2,794699.812497586,967605.1249194294,0.14407254061392982,-2.8279494532183524,73.13254563742032,202.37251150996667,0.022129868257893422,794772.1873528361,967615.6248984262,794795.3749705032,967600.3749289288,794795.3749705032,967600.3749289288,794905.3750785887,967524.0000816731,794553.6874617524,967542.5000446736,794647.1876028366,967465.8748698458,794699.6874978356,967877.3123671784,794494.3749163374,967833.37511909
14.0,3,794507.3125545047,967542.6877083406,0.3136432003714407,-2.775899211820399,202.37251150996667,248.3600874350169,0.010817836424755126,794553.6874617524,967542.5000446736,794647.1876028366,967465.8748698458,794728.0001052544,967143.3751867636,794461.4999820888,967298.6875401736,794772.1873528361,967615.6248984262,794795.3749705032,967600.3749289288,794494.3749163374,967833.37511909,794277.8750212528,967767.4999227598
14.0,4,794275.3750262521,967453.874893844,0.36569344176939417,-2.932801562915411,248.3600874350169,288.26047283679384,0.006856788479040546,794085.3750781715,967298.6248762608,794252.3124083355,967156.6248321756,794728.0001052544,967143.3751867636,794461.4999820888,967298.6875401736,794553.6874617524,967542.5000446736,794647.1876028366,967465.8748698458,794277.8750212528,967767.4999227598,794158.8749311715,967733.1249915138
14.0,5,793993.3749340884,967394.125013344,0.20879109067438217,-3.1110421399512296,288.26047283679384,272.12676677503157,0.005579077210688244,794085.3750781715,967298.6248762608,794252.3124083355,967156.6248321756,794043.3751621693,967713.5000307634,793749.6250935048,967728.0000017585,794158.8749311715,967733.1249915138,794043.3751621693,967713.5000307634,794277.8750212528,967767.4999227598,794158.8749311715,967733.1249915138
14.0,6,793721.3751500025,967385.8126940132,0.0305505136385635,0.0,272.12676677503157,0.0,0.005309095557363065,794043.3751621693,967713.5000307634,793749.6250935048,967728.0000017585,793353.999900505,967351.3124349266,793405.6251253374,967224.3123608456,793405.6251253374,967224.3123608456,793465.6873411722,967026.6250921786,793353.999900505,967351.3124349266,793252.3124398366,967361.375078842
15.0,0,794699.6874978356,967877.3123671784,0.0,-2.930770850713038,0.0,209.96127712277905,0.0,794494.3749163374,967833.37511909,794494.3749163374,967833.37511909,794772.1873528361,967615.6248984262,794772.1873528361,967615.6248984262,794835.3748905025,967630.6248684302,794835.3748905025,967630.6248684302,794553.6874617524,967542.5000446736,794553.6874617524,967542.5000446736
15.0,1,794494.3749163374,967833.37511909,0.21082180287675506,-2.8462197774008375,209.96127712277905,226.30012386916124,0.0,794494.3749163374,967833.37511909,794443.1250188388,967865.8123901784,794553.6874617524,967542.5000446736,794647.1876028366,967465.8748698458,794835.3748905025,967630.6248684302,794772.1873528361,967615.6248984262,794772.1873528361,967615.6248984262,794795.3749705032,967600.3749289288
15.0,2,794277.8750212528,967767.4999227598,0.2953728761889559,-2.860382731523073,226.30012386916124,123.86548081493281,0.007013619755962495,794443.1250188388,967865.8123901784,794372.8751593381,967934.8749160916,794494.3749163374,967833.37511909,794443.1250188388,967865.8123901784,794036.9998468384,968006.5001009256,794106.6250356697,967925.6875985116,793937.8750450872,968153.8751342596,794036.9998468384,968006.5001009256
15.0,3,794158.8749311715,967733.1249915138,0.28120992206672013,-2.973286645849609,123.86548081493281,117.15517796501275,0.00893149231263226,794106.6250356697,967925.6875985116,794226.3124603368,967803.3125151768,794036.9998468384,968006.5001009256,794106.6250356697,967925.6875985116,794443.1250188388,967865.8123901784,794372.8751593381,967934.8749160916,793937.8750450872,968153.8751342596,794036.9998468384,968006.5001009256
