,id_arr,coord_x,coord_y
384,58.0,783996.3749150038,935036.875095427
385,58.0,783772.3123710044,934866.8751073405
386,58.0,783704.1248433366,934814.4998840094
387,58.0,783603.3127090037,934714.0000850111
388,58.0,783473.9999755025,934598.1249886751
389,58.0,783252.1874270029,934379.8124331757
390,59.0,784527.1251658387,935378.1874049231
391,59.0,784432.8123623356,935525.1251031756
392,59.0,784335.312557336,935716.3123848438
393,59.0,784267.3126933388,935871.3124029264
394,59.0,784163.6875725053,936181.8124380931
395,59.0,784037.8124961704,936602.6249166802
396,59.0,783922.3750630021,937058.187653847
397,60.0,784926.8750225045,937620.9998484254
398,60.0,784782.8123185039,937673.000072509
399,60.0,784708.3748033382,937688.1250422597
400,61.0,785680.8751549199,937847.1873881742
401,61.0,785599.3126540035,937907.3749318421
402,62.0,784982.6875749193,936224.6250165105
403,62.0,784947.1249820031,936281.812566176
404,62.0,784841.3125295863,936547.1873635128
405,62.0,784715.8124525025,936992.8751204237
406,62.0,784600.1250198372,937458.8125087619
407,63.0,784600.1250198372,937458.8125087619
408,63.0,784648.3749233373,937446.1248700917
409,63.0,784740.0000681691,937407.6249470934
410,64.0,786211.8124132529,938774.9998370111
411,64.0,786215.8750691712,938788.5001380965
412,64.0,786237.1250266694,938858.1249988452
413,64.0,786251.187334504,938932.3125145137
414,64.0,786252.3749961704,938969.3751044273
415,65.0,786027.6251175888,938742.8125654235
416,65.0,786050.3124081716,938881.1249528453
417,65.0,786056.0000608377,938981.1250809282
418,65.0,786050.0000728369,939067.8125715926
419,66.0,784322.3125833385,939385.6249280944
420,66.0,784471.1876136698,939405.6248880923
421,66.0,784642.874934338,939436.3748265952
422,66.0,784903.8124045879,939499.687364012
423,66.0,785216.8124347553,939609.8124718443
424,66.0,785303.6249251701,939653.6250482574
425,67.0,783210.8125097528,930258.1248104274
426,67.0,783260.1874110028,930285.1874203458
427,67.0,783385.1251532547,930377.6875634268
428,67.0,783440.3123788387,930426.8751290962
429,68.0,782733.6251439191,929999.9999985918
430,68.0,782921.8750955053,930129.3124040067
431,69.0,783675.1249013357,929999.9999985918
432,69.0,783725.875127919,930042.8125770092
433,69.0,783779.5000206716,930093.3751399294
434,69.0,783842.8125580885,930140.6250454262
435,69.0,783922.6873983368,930214.374897927
436,69.0,784114.000007838,930422.8124731779
437,69.0,784266.3750311695,930608.5000939295
438,69.0,784429.1250337549,930794.6873855963
439,69.0,784505.6248807535,930871.8748952597
440,69.0,784572.6250748374,930943.1874166802
441,69.0,784626.4999670871,931009.3749483451
442,70.0,785969.1249065027,931445.3123966753
443,70.0,785958.374928005,931548.4998543411
444,70.0,785972.374900002,931765.50007651
445,71.0,786102.1876325049,931983.1876332611
446,71.0,785980.9998827539,931880.1248472631
447,71.0,785724.1250684224,931663.8126158416
448,72.0,782486.8123173378,931810.8749857619
449,72.0,782558.6251658387,931976.8749818429
450,72.0,782730.3748223372,932319.8126161769
451,72.0,782807.999995172,932459.1873374283
452,72.0,782941.3123925887,932649.3126133457
453,72.0,783064.8124736696,932778.0000200123
454,73.0,785671.1251744218,936658.8751322627
455,73.0,785666.8125190027,936745.1249597594
456,73.0,785672.0001726709,936967.8125065118
457,74.0,783493.8125999197,931886.6251623407
458,74.0,783445.3750327528,931996.62494234
459,74.0,783371.125181254,932196.8751980066
460,74.0,783280.1250351705,932467.874984093
461,74.0,783189.3748885877,932794.3123233467
462,74.0,783160.124947086,932882.1248117611
463,74.0,782964.6876739189,933415.1250580922
464,74.0,782915.8124435879,933577.8750606775
465,74.0,782883.1875088364,933679.4998574257
466,75.0,789090.6875610054,932078.1251074299
467,75.0,789097.3748835884,932076.5001106784
468,75.0,789192.8750206716,932128.6876703426
469,76.0,789429.6248752549,936853.6250708401
470,76.0,789806.6247774214,937132.5001692623
471,77.0,790214.8126093373,936788.6875366792
472,77.0,790111.6251516715,936688.1250737607
473,77.0,789914.6248895042,936542.6873725131
474,78.0,788926.3125616722,936440.4999128431
475,78.0,788939.8748705052,936461.1248715967
476,78.0,789016.6250450872,936508.6874405071
477,79.0,788692.312373504,933952.1249683425
478,79.0,788725.6873067543,934462.1875965074
479,79.0,788742.3749374188,934942.374956347
480,79.0,788753.1249159202,935089.3126545921
481,79.0,788770.9998801723,935572.8123437613
482,79.0,788765.8125545867,935918.4999725968
483,79.0,788732.8126205876,936322.6874844283
484,80.0,787663.1874632537,934966.374908343
485,80.0,788495.3751033358,935655.6248421744
486,80.0,788632.8751564212,935775.3125949278
487,81.0,788677.1250679195,938393.499943845
488,81.0,788648.875124421,938365.6249995902
489,81.0,788554.1249858364,938277.3751760945
490,81.0,788454.3748572543,938195.0000127628
491,82.0,789452.3124939203,939637.500080511
492,82.0,789346.0000425056,939516.6249941736
493,82.0,789161.8124187551,939344.6876740083
494,82.0,788988.8124366701,939218.6875979304
495,82.0,788826.5000972524,939101.3751685098
496,83.0,793099.3750816695,932771.6250327602
497,83.0,793114.125052169,932970.624962844
498,83.0,793110.8750586696,933087.3750574291
499,83.0,793110.8750586696,933087.3750574291
500,84.0,791623.3124170043,932786.0000040084
501,84.0,791642.125043422,932800.3749752566
502,84.0,791743.8748399206,932852.6251988411
503,84.0,792173.187629588,933046.124811843
504,84.0,792235.3125053383,933079.6874087602
505,84.0,792365.1249097548,933130.1249719262
506,84.0,792465.1250378378,933182.3748674244
507,84.0,792658.8123145029,933270.5000192598
508,84.0,792738.812482588,933316.1249280125
509,84.0,793023.8749045879,933436.3123516738
510,85.0,790964.6250860877,932561.3751251772
511,85.0,790964.6250860877,932571.3751051798
512,85.0,791027.8126237541,932635.1249776781
513,85.0,791255.6251602545,932846.3748832569
514,85.0,791411.624848254,933007.374889344
515,85.0,791657.6250124201,933232.1874318421
516,85.0,791753.8751480021,933329.4999012575
517,85.0,791971.0000418387,933571.1874100119
518,85.0,792329.6249807552,933937.687333174
519,85.0,792738.8751465045,934370.3124521747
520,85.0,792776.8750705048,934417.3126862571
521,85.0,793034.1248840876,934688.8751352578
522,85.0,793058.8751626723,934720.8124073446
523,85.0,793271.3124018386,934941.9999570921
524,86.0,791723.3748809211,933985.374901846
525,86.0,791816.3750230037,934047.187442258
526,86.0,792327.8749842532,934337.8125171736
527,86.0,792451.3124014214,934419.1873544231
528,86.0,792451.3124014214,934419.1873544231
529,87.0,790784.1251190044,933476.8749345914
530,87.0,791159.5000244193,933672.8125348464
531,87.0,791377.999915503,933804.1249362603
532,88.0,789477.6251073368,934149.8125650957
533,88.0,789622.0001466721,934148.9999026731
534,88.0,789667.3123920038,934154.3125560954
535,88.0,789826.8124010861,934151.8125610948
536,88.0,790239.9998949207,934164.3748719245
537,88.0,790467.6250958368,934187.187490344
538,89.0,788979.8751185872,932500.8125822619
539,89.0,789013.5000513382,932509.3125652596
540,89.0,789293.3751477525,932652.3749431744
541,89.0,790153.125068672,933118.4999951795
542,89.0,790231.8125753365,933172.1248879284
543,90.0,791466.8124019206,934568.6250476763
544,90.0,791546.9999055862,934449.1249585897
545,91.0,790937.3124766722,935277.3749425113
546,91.0,791108.3124627545,935081.125006929
547,91.0,791287.8750957549,934829.1251828447
548,92.0,793100.125080172,934946.1249488443
549,93.0,792784.0000562556,934923.374994345
550,94.0,792401.812500421,935658.8751637638
551,94.0,792565.8748363368,935597.3749586791
552,94.0,792783.8750565052,935521.0001114234
553,94.0,793005.1249420866,935451.1249230951
554,94.0,793243.8124568388,935379.1250670925
555,94.0,793509.6249173358,935310.8752035946
556,95.0,792972.8750065863,935822.6875001788
557,95.0,793154.8749706708,935763.6249542609
558,95.0,793598.6250674203,935649.3125188425
559,96.0,791527.8126080036,935429.8126297593
560,96.0,791601.625124421,935448.6875920072
561,96.0,791928.3124631718,935573.6873420104
562,96.0,792058.9998658374,935614.9999234304
563,97.0,790573.9998830855,937608.4998734295
564,97.0,790585.312524505,937526.3750376776
565,97.0,790595.3751684204,937292.6248490065
566,98.0,792610.3750754222,936910.687620759
567,98.0,792694.9999061711,936948.1248818412
568,98.0,792772.3124155886,936977.3751514256
569,98.0,792772.3124155886,936977.3751514256
570,98.0,792905.3751415871,937025.187391758
571,98.0,793008.3125997521,937062.6249809265
572,99.0,792209.4998929203,937055.6249949262
573,99.0,792402.875162337,937146.8124765903
574,99.0,792524.812582504,937197.875038512
575,99.0,792748.8124625869,937286.8751885965
576,100.0,792706.6248829216,937462.3748375922
577,100.0,792557.1251819208,937413.1249360964
578,100.0,792442.8750823364,937369.375023596
579,100.0,792372.3125594221,937333.6250950918
580,100.0,792073.8125002533,937178.1874138415
581,101.0,791866.8749220036,937519.3127158433
582,101.0,792001.1249815859,937531.312691845
583,101.0,792495.68731267,937598.6875570938
584,101.0,793031.6875530034,937693.6250312626
585,102.0,791361.6876121722,937423.3749155924
586,102.0,791658.5000106692,937722.6249732599
587,102.0,792478.6250108369,938503.6250516772
588,102.0,792732.3748314194,938753.6248797625
589,103.0,790279.3124803379,936926.3125895113
590,103.0,790299.3751042522,937293.1251760945
591,103.0,790291.0001210049,937753.4999115095
592,104.0,790655.8750474192,936752.3749452606
593,104.0,790662.3123705052,936595.1249316782
594,104.0,790656.8750454187,936447.6248985901
595,105.0,790662.3123705052,936595.1249316782
596,105.0,791188.3749666698,936993.8124545068
597,106.0,791795.8124000877,936382.1250295937
598,106.0,791630.1250674203,936345.6251025945
599,106.0,791503.4999925867,936334.6247965097
600,106.0,791225.1248931699,936290.1248855069
601,107.0,792331.874976255,935750.9999795109
602,107.0,792245.6874845885,935835.3124749288
603,107.0,792178.124955669,935894.6250203401
604,107.0,791719.8748879209,936260.1249455065
605,108.0,792080.1874875054,936450.4998928457
606,108.0,792166.8123142533,936396.5000008419
607,108.0,792250.875138253,936325.3124791756
608,109.0,792166.8123142533,936396.5000008419
609,109.0,792629.8123725057,936476.1248415932
610,109.0,792929.1874299198,936561.6873345077
611,110.0,788693.6873707548,933727.3124258444
612,110.0,788701.5000191703,933593.3750296757
613,110.0,788653.0001161695,932582.312419258
614,111.0,790238.312562339,935230.3750365078
615,111.0,789990.3750660866,934915.3126745075
616,111.0,789707.8126390874,934611.312626347
617,111.0,789458.6248172522,934359.8124731779
618,111.0,789433.4998675026,934323.3748820126
619,111.0,788904.3126056716,933794.3126199245
620,112.0,788904.3126056716,933794.3126199245
621,112.0,789123.1251601689,933794.8749547601
622,112.0,789778.8124970868,933769.812668927
623,112.0,790040.4999658354,933776.3123278469
624,113.0,792678.3126035854,932231.312465094
625,113.0,792498.499971088,932106.6250504255
626,114.0,792599.8124325052,933863.1874821782
627,114.0,792900.624823004,934002.6875312626
628,114.0,792999.6249530874,934064.3750719279
629,115.0,793322.8749627545,933747.8123848438
630,116.0,789025.0000283383,931702.3748746738
631,116.0,788879.1249920055,931565.4998203442
632,116.0,788282.3125373386,930943.1250808463
633,116.0,787956.8751960881,930632.6250456795
634,117.0,793281.1250462532,931871.8125279248
635,117.0,793286.3123718388,932048.3748388439
636,117.0,793280.0000485033,932094.375074923
637,117.0,793268.6874070875,932389.4998127595
638,118.0,793844.8125671707,932641.8749641776
639,118.0,793875.8748410046,932452.3123511747
